expend_item_no;IOT;Category_no;Subcategory_no;5
111000;104;1;1;
111001;104;1;1;
111002;104;1;1;
111003;104;1;1;
111004;104;1;1;
111005;104;1;1;
111006;104;1;1;
111007;104;1;1;
111008;104;1;1;
111009;104;1;1;
111010;104;1;1;
111011;104;1;1;
111012;104;1;1;
111013;104;1;1;
111014;104;1;1;
111015;104;1;1;
111016;104;1;1;
111017;104;1;1;
111018;104;1;1;
111019;104;1;1;
111020;104;1;1;
111021;104;1;1;
111022;104;1;1;
111023;104;1;1;
111024;104;1;1;
111025;104;1;1;
111026;104;1;1;
111027;104;1;1;
111028;104;1;1;
111099;104;1;1;
111100;104;1;1;
111101;104;1;1;
111102;104;1;1;
111103;104;1;1;
111104;104;1;1;
111105;104;1;1;
111106;104;1;1;
111107;104;1;1;
111108;104;1;1;
111109;104;1;1;
111110;104;1;1;
111111;104;1;1;
111112;104;1;1;
111113;104;1;1;
111114;104;1;1;
111115;104;1;1;
111116;104;1;1;
111117;104;1;1;
111118;104;1;1;
111119;104;1;1;
111120;104;1;1;
111121;104;1;1;
111122;104;1;1;
111123;104;1;1;
111124;104;1;1;
111125;104;1;1;
111126;104;1;1;
111197;104;1;1;
111198;104;1;1;
111199;104;1;1;
111200;102;1;1;
111201;102;1;1;
111202;102;1;1;
111203;102;1;1;
111204;102;1;1;
111205;102;1;1;
111206;102;1;1;
111207;102;1;1;
111208;102;1;1;
111209;102;1;1;
111210;102;1;1;
111211;102;1;1;
111212;100;1;1;
111213;102;1;1;
111299;102;1;1;
111300;105;1;1;
111301;105;1;1;
111302;105;1;1;
111303;105;1;1;
111304;105;1;1;
111305;105;1;1;
111306;105;1;1;
111307;105;1;1;
111308;105;1;1;
111309;105;1;1;
111310;105;1;1;
111399;105;1;1;
111400;101;1;1;
111401;101;1;1;
111402;101;1;1;
111403;101;1;1;
111404;101;1;1;
111405;101;1;1;
111406;101;1;1;
111407;101;1;1;
111408;101;1;1;
111409;101;1;1;
111499;101;1;1;
111500;10;1;1;
111501;9;1;1;
111502;10;1;1;
111503;8;1;1;
111504;10;1;1;
111505;10;1;1;
111506;10;1;1;
111507;10;1;1;
111508;10;1;1;
111509;10;1;1;
111510;6;1;1;
111511;6;1;1;
111512;10;1;1;
111513;10;1;1;
111514;5;1;1;
