Subcategory_no;Subcategory_label
1;Bread and cereals
2;Meat
3;Fish
4;Dairy
5;Oil and fats
6;Fruits
7;Vegetables
8;Sugar and sweets
9;Other food products
10;Hot drinks
11;Soft drinks
12;Spirits
13;Wine
14;Beer
15;Rent
16;Other
17;Maintenance
18;Water and public services
19;Apparel
20;Furnishings
21;Household objects
22;Household services
23;Electricity
24;LPG
25;Vehicles
26;Diesel
27;Gasoline eco
28;Gasoline super
29;Gasoline extra
30;Vehicle Maintenance
31;Transport services
32;Transport services (air)
33;Medical equipment
34;Medical services
35;Technical equipment
36;Services
37;Publishing products
38;Restaurants
39;Accomodation
40;Personal care
41;Personal belongings
42;Insurances and financial services
43;Health insurance
44;Social protection
45;Communication
46;Education
47;Tobacco
48;Farming
49;Property purchases
